"PLU","CATEGORY","COMMODITY","VARIETY","SIZE"
"3232","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3233","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3234","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3235","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3236","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3237","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3238","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3239","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3240","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3241","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3242","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3243","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3244","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3245","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3246","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3247","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3248","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3249","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3250","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3251","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3252","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3253","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3254","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3255","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3256","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3257","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3258","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3259","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3260","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3261","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3262","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3263","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3264","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3265","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3266","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3267","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3268","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3269","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3270","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3271","Fruits","APPLES","Virginia Gold"," All Sizes "
"3272","Fruits","APPLES","Sommerfeld"," All Sizes "
